# Mag err HJD-2450000 Dec errDec RA errRA
17.9413 0.010 9073.5000 0.0691 0.8 0.0142 0.9
17.9123 0.010 9078.5505 -0.0941 0.8 0.2705 0.9
17.8792 0.010 9083.6010 0.2217 0.8 -0.1510 0.9
17.8339 0.010 9088.6515 -0.2948 0.8 0.0488 0.9
17.7892 0.010 9093.7020 0.2846 0.8 -0.3404 0.9
17.6791 0.010 9098.7525 0.1129 0.8 -0.2213 0.9
17.5257 0.010 9103.8030 -0.2441 0.8 0.2518 0.9
17.2922 0.010 9108.8535 0.1561 0.8 -0.0408 0.9
16.9421 0.010 9113.9040 0.1895 0.8 0.1849 0.9
16.2681 0.010 9118.9545 -0.3567 0.8 0.0231 0.9
15.5207 0.010 9124.0051 0.3391 0.8 0.1283 0.9
16.4526 0.010 9129.0556 -0.6278 0.8 -0.2887 0.9
17.0203 0.010 9134.1061 0.2390 0.8 -0.1501 0.9
17.3722 0.010 9139.1566 0.2691 0.8 0.5528 0.9
17.5698 0.010 9144.2071 -0.0571 0.8 -0.1665 0.9
17.7088 0.010 9149.2576 -0.2415 0.8 0.2051 0.9
17.7874 0.010 9154.3081 -0.1446 0.8 -0.1082 0.9
17.8447 0.010 9159.3586 -0.2661 0.8 -0.1164 0.9
17.8919 0.010 9164.4091 -0.1696 0.8 -0.5348 0.9
17.9049 0.010 9169.4596 -0.2013 0.8 0.2018 0.9
