# Mag err HJD-2450000
17.9413 0.010 9073.5000
17.9311 0.010 9074.5101
17.9350 0.010 9075.5202
17.9394 0.010 9076.5303
17.9172 0.010 9077.5404
17.9123 0.010 9078.5505
17.9251 0.010 9079.5606
17.9113 0.010 9080.5707
17.8928 0.010 9081.5808
17.8963 0.010 9082.5909
17.8792 0.010 9083.6010
17.8716 0.010 9084.6111
17.8705 0.010 9085.6212
17.8401 0.010 9086.6313
17.8325 0.010 9087.6414
17.8339 0.010 9088.6515
17.8183 0.010 9089.6616
17.8196 0.010 9090.6717
17.7945 0.010 9091.6818
17.7755 0.010 9092.6919
17.7892 0.010 9093.7020
17.7560 0.010 9094.7121
17.7412 0.010 9095.7222
17.7071 0.010 9096.7323
17.6951 0.010 9097.7424
17.6791 0.010 9098.7525
17.6419 0.010 9099.7626
17.6305 0.010 9100.7727
17.5917 0.010 9101.7828
17.5632 0.010 9102.7929
17.5257 0.010 9103.8030
17.5126 0.010 9104.8131
17.4528 0.010 9105.8232
17.3974 0.010 9106.8333
17.3668 0.010 9107.8434
17.2922 0.010 9108.8535
17.2469 0.010 9109.8636
17.1593 0.010 9110.8737
17.0927 0.010 9111.8838
17.0270 0.010 9112.8939
16.9421 0.010 9113.9040
16.8353 0.010 9114.9141
16.7184 0.010 9115.9242
16.5874 0.010 9116.9343
16.4285 0.010 9117.9444
16.2681 0.010 9118.9545
16.0797 0.010 9119.9646
15.8842 0.010 9120.9747
15.6677 0.010 9121.9848
15.4999 0.010 9122.9949
15.5207 0.010 9124.0051
15.6604 0.010 9125.0152
15.8668 0.010 9126.0253
16.0904 0.010 9127.0354
16.2856 0.010 9128.0455
16.4526 0.010 9129.0556
16.5820 0.010 9130.0657
16.7165 0.010 9131.0758
16.8369 0.010 9132.0859
16.9445 0.010 9133.0960
17.0203 0.010 9134.1061
17.1042 0.010 9135.1162
17.1679 0.010 9136.1263
17.2328 0.010 9137.1364
17.3126 0.010 9138.1465
17.3722 0.010 9139.1566
17.4072 0.010 9140.1667
17.4630 0.010 9141.1768
17.4977 0.010 9142.1869
17.5252 0.010 9143.1970
17.5698 0.010 9144.2071
17.6131 0.010 9145.2172
17.6264 0.010 9146.2273
17.6691 0.010 9147.2374
17.6518 0.010 9148.2475
17.7088 0.010 9149.2576
17.7222 0.010 9150.2677
17.7375 0.010 9151.2778
17.7591 0.010 9152.2879
17.7547 0.010 9153.2980
17.7874 0.010 9154.3081
17.8072 0.010 9155.3182
17.8313 0.010 9156.3283
17.8232 0.010 9157.3384
17.8314 0.010 9158.3485
17.8447 0.010 9159.3586
17.8684 0.010 9160.3687
17.8713 0.010 9161.3788
17.8709 0.010 9162.3889
17.8890 0.010 9163.3990
17.8919 0.010 9164.4091
17.9072 0.010 9165.4192
17.8966 0.010 9166.4293
17.9060 0.010 9167.4394
17.9107 0.010 9168.4495
17.9049 0.010 9169.4596
17.9272 0.010 9170.4697
17.9311 0.010 9171.4798
17.9326 0.010 9172.4899
17.9339 0.010 9173.5000
