# Mag err HJD-2450000 Dec errDec RA errRA
17.9413 0.010 9073.5000 0.0310 1.0 -0.1131 1.0
17.9311 0.010 9074.5101 0.0934 1.0 -0.0335 0.9
17.9350 0.010 9075.5202 -0.0341 0.9 0.1341 0.9
17.9394 0.010 9076.5303 -0.0201 1.0 0.1009 1.0
17.9172 0.010 9077.5404 0.0372 1.0 0.0953 1.0
17.9123 0.010 9078.5505 0.0079 0.9 0.0357 1.0
17.9251 0.010 9079.5606 0.1558 1.0 0.0489 1.0
17.9113 0.010 9080.5707 -0.0471 0.9 -0.0198 0.9
17.8928 0.010 9081.5808 0.1093 0.8 -0.0185 0.8
17.8963 0.010 9082.5909 -0.0946 0.8 0.0413 0.8
17.8792 0.010 9083.6010 -0.0234 1.0 0.0350 0.8
17.8716 0.010 9084.6111 0.0055 0.9 0.0658 1.0
17.8705 0.010 9085.6212 0.2309 0.8 0.2353 0.9
17.8401 0.010 9086.6313 0.0279 0.9 0.0459 0.9
17.8325 0.010 9087.6414 0.0917 0.8 -0.0298 0.9
17.8339 0.010 9088.6515 -0.0746 0.9 0.1791 1.0
17.8183 0.010 9089.6616 0.1864 1.0 -0.0827 0.8
17.8196 0.010 9090.6717 0.2158 0.8 0.0732 1.0
17.7945 0.010 9091.6818 0.1254 0.9 0.1858 0.9
17.7755 0.010 9092.6919 0.0885 0.9 -0.0749 1.0
17.7892 0.010 9093.7020 0.0941 0.9 0.2015 0.8
17.7560 0.010 9094.7121 -0.0285 1.0 -0.1029 0.9
17.7412 0.010 9095.7222 0.0378 1.0 0.1886 0.9
17.7071 0.010 9096.7323 0.2747 0.9 0.0195 0.9
17.6951 0.010 9097.7424 0.2730 1.0 0.1997 1.0
17.6791 0.010 9098.7525 0.2197 0.8 0.1241 1.0
17.6419 0.010 9099.7626 0.1640 1.0 0.0742 0.9
17.6305 0.010 9100.7727 0.0600 0.8 0.0816 0.8
17.5917 0.010 9101.7828 0.2648 0.9 0.0062 0.9
17.5632 0.010 9102.7929 0.3192 0.9 0.1303 0.8
17.5257 0.010 9103.8030 0.2749 1.0 0.2279 0.9
17.5126 0.010 9104.8131 0.2426 1.0 0.2002 0.8
17.4528 0.010 9105.8232 0.1266 1.0 0.2307 1.0
17.3974 0.010 9106.8333 0.3746 1.0 0.2453 1.0
17.3668 0.010 9107.8434 0.2390 0.9 0.1317 0.8
17.2922 0.010 9108.8535 0.4206 0.9 0.1432 0.9
17.2469 0.010 9109.8636 0.3851 0.9 0.2599 0.9
17.1593 0.010 9110.8737 0.2622 0.8 0.1415 0.9
17.0927 0.010 9111.8838 0.4544 0.9 0.3174 1.0
17.0270 0.010 9112.8939 0.4700 0.8 0.0917 1.0
16.9421 0.010 9113.9040 0.3026 0.8 0.2380 1.0
16.8353 0.010 9114.9141 0.3083 0.9 0.1974 0.9
16.7184 0.010 9115.9242 0.6786 0.9 0.3970 0.9
16.5874 0.010 9116.9343 0.3861 0.9 0.1311 0.9
16.4285 0.010 9117.9444 0.5121 0.9 0.2350 0.9
16.2681 0.010 9118.9545 0.5492 0.8 0.2843 1.0
16.0797 0.010 9119.9646 0.7283 0.9 0.3176 0.9
15.8842 0.010 9120.9747 0.5353 0.9 0.4597 0.9
15.6677 0.010 9121.9848 1.8368 0.9 1.6028 0.8
15.4999 0.010 9122.9949 2.1126 0.9 1.5173 0.8
15.5207 0.010 9124.0051 2.0099 0.8 1.4586 0.8
15.6604 0.010 9125.0152 1.8542 0.8 1.4590 0.9
15.8668 0.010 9126.0253 0.4031 0.9 0.2253 0.9
16.0904 0.010 9127.0354 0.5138 0.9 0.2396 0.8
16.2856 0.010 9128.0455 0.5383 1.0 0.3001 0.9
16.4526 0.010 9129.0556 0.4664 0.8 0.1938 0.9
16.5820 0.010 9130.0657 0.4596 0.9 0.3684 0.8
16.7165 0.010 9131.0758 0.3309 0.9 0.1819 0.9
16.8369 0.010 9132.0859 0.4605 0.9 0.1008 0.9
16.9445 0.010 9133.0960 0.4352 0.8 0.1342 1.0
17.0203 0.010 9134.1061 0.4734 0.9 0.2667 0.8
17.1042 0.010 9135.1162 0.6122 0.9 0.2215 0.9
17.1679 0.010 9136.1263 0.4342 1.0 0.1755 0.9
17.2328 0.010 9137.1364 0.3470 0.9 0.0611 0.9
17.3126 0.010 9138.1465 0.2708 0.8 0.2257 0.8
17.3722 0.010 9139.1566 0.3515 1.0 0.2455 0.9
17.4072 0.010 9140.1667 0.3696 0.9 0.0738 0.9
17.4630 0.010 9141.1768 0.4499 0.9 0.0567 0.8
17.4977 0.010 9142.1869 0.3343 0.9 0.2838 0.9
17.5252 0.010 9143.1970 0.1761 1.0 0.0717 0.9
17.5698 0.010 9144.2071 0.2018 0.9 0.2472 0.8
17.6131 0.010 9145.2172 0.1600 1.0 0.1933 0.9
17.6264 0.010 9146.2273 0.1753 1.0 0.1287 1.0
17.6691 0.010 9147.2374 0.2838 1.0 0.1116 0.9
17.6518 0.010 9148.2475 0.1800 0.9 -0.0459 0.9
17.7088 0.010 9149.2576 0.1480 1.0 0.1509 1.0
17.7222 0.010 9150.2677 0.1713 0.9 0.2348 1.0
17.7375 0.010 9151.2778 -0.0937 1.0 0.1544 0.9
17.7591 0.010 9152.2879 0.1640 0.9 0.1453 0.9
17.7547 0.010 9153.2980 0.1729 0.9 -0.0555 0.8
17.7874 0.010 9154.3081 0.2166 0.9 0.0227 0.9
17.8072 0.010 9155.3182 0.1612 1.0 -0.0684 0.9
17.8313 0.010 9156.3283 0.2890 0.8 0.0597 0.9
17.8232 0.010 9157.3384 -0.0367 0.9 0.0713 0.9
